OSEBuildingID,DataYear,BuildingType,PrimaryPropertyType,Neighborhood,YearBuilt,NumberofBuildings,NumberofFloors,PropertyGFATotal,PropertyGFAParking,PropertyGFABuilding(s),ListOfAllPropertyUseTypes,LargestPropertyUseType,SecondLargestPropertyUseTypeGFA,ThirdLargestPropertyUseTypeGFA,SiteEnergyUse(kBtu),SteamUse(kBtu),Electricity(kBtu),NaturalGas(kBtu),UsageType
121,2016,NonResidential,Small- and Mid-Sized Office,SOUTHEAST,2003,1.0,3,99433,35752,63681,"Office, Parking",Office,35752.0,,4897760.0,0.0,4897760.0,0.0,Multi_usage
125,2016,SPS-District K-12,K-12 School,GREATER_DUWAMISH,1957,1.0,1,130862,0,130862,K-12 School,K-12 School,,,6456026.0,0.0,2262820.0,4193207.0,Mono_usage
127,2016,SPS-District K-12,K-12 School,SOUTHEAST,1989,1.0,3,59955,0,59955,K-12 School,K-12 School,,,1633399.375,0.0,1436416.0,196983.0,Mono_usage
130,2016,SPS-District K-12,K-12 School,MAGNOLIA_QUEENANNE,1964,1.0,2,93218,0,93218,K-12 School,K-12 School,,,2887392.0,0.0,1486758.0,1400634.0,Mono_usage
131,2016,NonResidential,Other,NORTHEAST,1941,1.0,4,56521,0,56521,Other,Other,,,6357632.0,0.0,6357631.0,0.0,Mono_usage
132,2016,NonResidential,Other,NORTHEAST,1929,1.0,2,206934,0,206934,"Other, Parking",Other,0.0,,4253577.5,0.0,2001103.0,2252474.0,Multi_usage
136,2016,NonResidential,Hotel,NORTHWEST,2001,1.0,4,51390,0,51390,"Hotel, Parking",Hotel,0.0,,3611538.0,0.0,1398289.0,2213249.0,Multi_usage
137,2016,SPS-District K-12,K-12 School,NORTHWEST,1963,1.0,2,131013,0,131013,K-12 School,K-12 School,,,3894584.5,0.0,1775488.0,2119097.0,Mono_usage
138,2016,SPS-District K-12,K-12 School,NORTHWEST,1959,1.0,1,245587,0,245587,K-12 School,K-12 School,,,11765682.0,0.0,3926011.0,7839670.0,Mono_usage
139,2016,NonResidential,Hotel,NORTHWEST,2002,1.0,3,69138,0,69138,Hotel,Hotel,,,3242458.0,0.0,1802889.0,1439568.0,Mono_usage
144,2016,NonResidential,Hotel,DOWNTOWN,1904,1.0,5,190980,0,190980,"Hotel, Parking",Hotel,19051.0,,6505995.0,0.0,4402910.0,2103084.0,Multi_usage
145,2016,Nonresidential COS,Other,DOWNTOWN,1998,1.0,6,284100,0,284100,Other - Entertainment/Public Assembly,Other - Entertainment/Public Assembly,,,14641502.0,4311136.0,9803021.0,527343.0,Mono_usage
147,2016,NonResidential,Hospital,BALLARD,1954,4.0,5,285333,0,285333,"Hospital (General Medical & Surgical), Parking",Hospital (General Medical & Surgical),148865.0,,68090728.0,0.0,35237205.0,32853512.0,Multi_usage
148,2016,SPS-District K-12,K-12 School,BALLARD,1991,1.0,2,55513,0,55513,K-12 School,K-12 School,,,1513570.75,0.0,1513571.0,0.0,Mono_usage
163,2016,Nonresidential COS,Other,DOWNTOWN,2006,1.0,4,61156,0,61156,"Office, Other",Other,29219.0,,9363374.0,0.0,6947270.0,2416104.0,Multi_usage
167,2016,NonResidential,Other,DOWNTOWN,1910,1.0,4,72820,13820,59000,Museum,Museum,,,2010454.625,0.0,1311669.0,698785.0,Mono_usage
168,2016,NonResidential,Hotel,MAGNOLIA_QUEENANNE,1996,1.0,4,162222,14200,148022,"Hotel, Parking",Hotel,32692.0,,7946961.0,0.0,4197462.0,3749499.0,Multi_usage
169,2016,SPS-District K-12,K-12 School,SOUTHEAST,1990,1.0,4,289588,0,289588,K-12 School,K-12 School,,,8819852.0,0.0,6449764.0,2370086.0,Mono_usage
170,2016,NonResidential,University,EAST,1915,1.0,3,63330,0,63330,College/University,College/University,,,3059758.0,0.0,1911064.0,1148694.0,Mono_usage
172,2016,Campus,University,DELRIDGE,1970,27.0,2,441071,0,441071,College/University,College/University,,,38301744.0,0.0,25314575.0,12987166.0,Mono_usage
173,2016,NonResidential,Small- and Mid-Sized Office,NORTHEAST,2002,1.0,2,96300,0,96300,"Data Center, Office",Office,4944.0,,16319835.0,0.0,13973696.0,2346137.0,Multi_usage
174,2016,Nonresidential COS,Other,GREATER_DUWAMISH,1950,1.0,1,67356,0,67356,"Repair Services (Vehicle, Shoe, Locksmith, etc)","Repair Services (Vehicle, Shoe, Locksmith, etc)",,,7475577.5,0.0,4182001.0,3293576.0,Mono_usage
175,2016,SPS-District K-12,K-12 School,CENTRAL,2008,1.0,3,254523,0,254523,K-12 School,K-12 School,,,13567774.0,0.0,7835065.0,5732708.0,Mono_usage
176,2016,SPS-District K-12,K-12 School,SOUTHEAST,2001,1.0,3,78804,0,78804,K-12 School,K-12 School,,,2499140.0,0.0,1645214.0,853926.0,Mono_usage
177,2016,SPS-District K-12,K-12 School,CENTRAL,2002,1.0,3,66994,0,66994,K-12 School,K-12 School,,,2371304.5,0.0,1824845.0,546459.0,Mono_usage
178,2016,SPS-District K-12,K-12 School,GREATER_DUWAMISH,2000,1.0,3,98357,0,98357,K-12 School,K-12 School,,,3456131.5,0.0,1927067.0,1529064.0,Mono_usage
179,2016,NonResidential,Small- and Mid-Sized Office,GREATER_DUWAMISH,1958,1.0,1,54765,0,54765,"Office, Other",Office,25000.0,,4253369.5,0.0,3569337.0,684032.0,Multi_usage
180,2016,NonResidential,Other,GREATER_DUWAMISH,2009,1.0,5,89821,0,89821,"Food Service, Office, Other - Lodging/Residential",Other - Lodging/Residential,37938.0,4579.0,1950092.5,0.0,67462.0,1882631.0,Multi_usage
182,2016,NonResidential,University,MAGNOLIA_QUEENANNE,1980,1.0,2,52611,0,52611,College/University,College/University,,,4116871.5,0.0,2479273.0,1637598.0,Mono_usage
183,2016,NonResidential,Residence Hall,MAGNOLIA_QUEENANNE,2001,1.0,4,139600,37500,102100,Residence Hall/Dormitory,Residence Hall/Dormitory,,,4448582.5,0.0,2316298.0,2132284.0,Mono_usage
185,2016,SPS-District K-12,K-12 School,NORTH,2011,1.0,2,236758,0,236758,"K-12 School, Parking",K-12 School,0.0,,8355988.5,0.0,4789948.0,3566039.0,Multi_usage
187,2016,NonResidential,Other,CENTRAL,1971,3.0,6,250981,0,250981,"Courthouse, Other",Other,78357.0,,13071700.0,4336524.5,8155002.0,580172.0,Multi_usage
189,2016,SPS-District K-12,K-12 School,NORTHWEST,2002,1.0,3,62526,0,62526,K-12 School,K-12 School,,,1986094.875,0.0,1114389.0,871706.0,Mono_usage
338,2016,NonResidential,Other,DOWNTOWN,2004,1.0,11,299070,68432,230638,Other,Other,,,65336980.0,0.0,30651644.0,34685331.0,Mono_usage
190,2016,NonResidential,Small- and Mid-Sized Office,GREATER_DUWAMISH,2007,1.0,3,64015,0,64015,"Non-Refrigerated Warehouse, Office, Other - Services",Office,15000.0,9015.0,3242077.75,0.0,2657382.0,584696.0,Multi_usage
194,2016,NonResidential,Retail Store,NORTH,1951,1.0,1,530039,0,530039,"Restaurant, Retail Store",Retail Store,24936.0,,27717034.0,0.0,16224529.0,11492503.0,Multi_usage
195,2016,NonResidential,Other,NORTH,1964,1.0,3,54224,0,54224,Other/Specialty Hospital,Other/Specialty Hospital,,,7265178.0,0.0,3344827.0,3920350.0,Mono_usage
197,2016,NonResidential,Retail Store,NORTH,1965,1.0,4,124342,0,124342,Retail Store,Retail Store,,,8765978.0,0.0,8653621.0,112356.0,Mono_usage
200,2016,NonResidential,Other,NORTHWEST,1996,1.0,3,55442,0,55442,"Financial Office, Medical Office, Parking",Financial Office,15385.0,8644.0,3191228.25,0.0,1859345.0,1331883.0,Multi_usage
205,2016,SPS-District K-12,K-12 School,BALLARD,1999,1.0,2,242795,0,242795,K-12 School,K-12 School,,,9157150.0,0.0,7859464.0,1297685.0,Mono_usage
209,2016,NonResidential,Self-Storage Facility,EAST,1910,1.0,5,84870,0,84870,Self-Storage Facility,Self-Storage Facility,,,1381590.125,0.0,482635.0,898955.0,Mono_usage
211,2016,Campus,University,NORTHWEST,1970,11.0,2,694072,111625,582447,College/University,College/University,,,35891484.0,0.0,33450832.0,2440648.0,Mono_usage
212,2016,SPS-District K-12,K-12 School,SOUTHEAST,1952,1.0,2,173185,0,173185,K-12 School,K-12 School,,,6127771.5,0.0,1800727.0,4327044.0,Mono_usage
214,2016,SPS-District K-12,K-12 School,DELRIDGE,1963,1.0,1,145341,0,145341,K-12 School,K-12 School,,,5499097.0,0.0,1864967.0,3634130.0,Mono_usage
215,2016,NonResidential,Warehouse,GREATER_DUWAMISH,1904,1.0,4,114297,0,114297,Non-Refrigerated Warehouse,Non-Refrigerated Warehouse,,,2100097.75,0.0,912475.0,1187623.0,Mono_usage
216,2016,SPS-District K-12,K-12 School,SOUTHEAST,1960,1.0,2,184125,0,184125,K-12 School,K-12 School,,,8800292.0,0.0,2999862.0,5800430.0,Mono_usage
220,2016,NonResidential,Warehouse,GREATER_DUWAMISH,1937,1.0,1,234144,0,234144,Non-Refrigerated Warehouse,Non-Refrigerated Warehouse,,,6744317.0,0.0,1316817.0,5427500.0,Mono_usage
223,2016,NonResidential,Retail Store,DELRIDGE,1966,1.0,1,64984,0,64984,Retail Store,Retail Store,,,2944296.25,0.0,2613687.0,330609.0,Mono_usage
224,2016,NonResidential,Retail Store,DELRIDGE,1965,1.0,1,67745,0,67745,Retail Store,Retail Store,,,9230223.0,0.0,2624102.0,6606121.0,Mono_usage
225,2016,SPS-District K-12,K-12 School,DELRIDGE,2010,1.0,2,367884,0,367884,K-12 School,K-12 School,,,12265516.0,0.0,8205020.0,4060496.0,Mono_usage
226,2016,SPS-District K-12,K-12 School,DELRIDGE,1958,1.0,1,46797,0,46797,K-12 School,K-12 School,,,2075891.0,0.0,797204.0,1278687.0,Mono_usage
228,2016,NonResidential,Other,BALLARD,1973,1.0,3,56000,0,56000,Other,Other,,,1851260.5,0.0,844864.0,1006396.0,Mono_usage
229,2016,SPS-District K-12,K-12 School,SOUTHEAST,2004,1.0,2,67371,0,67371,K-12 School,K-12 School,,,2128459.0,0.0,1445339.0,683120.0,Mono_usage
230,2016,NonResidential,Self-Storage Facility,SOUTHWEST,1969,1.0,2,52088,0,52088,Self-Storage Facility,Self-Storage Facility,,,1377519.5,0.0,523765.0,853755.0,Mono_usage
231,2016,SPS-District K-12,K-12 School,LAKE_UNION,2010,1.0,3,127776,0,127776,K-12 School,K-12 School,,,4748137.0,0.0,3729930.0,1018207.0,Mono_usage
232,2016,NonResidential,Hotel,LAKE_UNION,1998,1.0,5,123920,30000,93920,"Hotel, Parking, Swimming Pool",Hotel,30000.0,0.0,9373179.0,0.0,4079217.0,5293961.0,Multi_usage
233,2016,Nonresidential COS,Other,LAKE_UNION,1900,1.0,1,50000,0,50000,Museum,Museum,,,7548807.0,0.0,3797924.0,3750882.0,Mono_usage
234,2016,Nonresidential COS,Warehouse,MAGNOLIA_QUEENANNE,1926,1.0,2,50292,0,50292,"Non-Refrigerated Warehouse, Office, Other - Services, Residence Hall/Dormitory",Non-Refrigerated Warehouse,5000.0,4730.0,430473.6875,0.0,430474.0,0.0,Multi_usage
235,2016,NonResidential,Hotel,MAGNOLIA_QUEENANNE,1998,1.0,7,207656,54341,153315,Hotel,Hotel,,,11171988.0,0.0,5530787.0,5641200.0,Mono_usage
237,2016,SPS-District K-12,K-12 School,BALLARD,1999,1.0,2,67235,0,67235,K-12 School,K-12 School,,,2284133.75,0.0,1564728.0,719406.0,Mono_usage
238,2016,Nonresidential COS,Small- and Mid-Sized Office,NORTHWEST,1957,1.0,2,91130,0,91130,"Data Center, Distribution Center, Office, Other, Parking",Office,32881.0,11850.0,9472358.0,0.0,7093984.0,2378373.0,Multi_usage
239,2016,SPS-District K-12,K-12 School,SOUTHWEST,1991,1.0,3,58118,0,58118,K-12 School,K-12 School,,,1407277.25,0.0,1158457.0,248820.0,Mono_usage
241,2016,NonResidential,Hotel,NORTHWEST,1968,1.0,4,64893,0,64893,Hotel,Hotel,,,6197825.0,0.0,2620548.0,3577277.0,Mono_usage
243,2016,SPS-District K-12,K-12 School,GREATER_DUWAMISH,1925,1.0,1,70762,0,70762,K-12 School,K-12 School,,,3606416.0,0.0,491106.0,3115310.0,Mono_usage
244,2016,NonResidential,Small- and Mid-Sized Office,DOWNTOWN,1900,1.0,3,44558,0,44558,"Office, Restaurant, Self-Storage Facility",Office,7672.0,2470.0,1677002.25,0.0,1317637.0,359365.0,Multi_usage
245,2016,NonResidential,Other,GREATER_DUWAMISH,1999,1.0,6,1585960,327680,1258280,"Other - Entertainment/Public Assembly, Parking",Other - Entertainment/Public Assembly,0.0,,59757440.0,0.0,49439914.0,10317518.0,Multi_usage
